annee;date;site;pontes;pontes_correction;traces;mission;modalite;nb_ilots;comptage;date_debut;date_fin;nb_jours
2021;27/01/2022-14/02/2022;ieroue;0;0;0;8;rapproche;1;0;27/01/2022;14/02/2022;18
2021;28/01/2022-14/02/2022;kouare;0;0;0;8;rapproche;1;0;28/01/2022;14/02/2022;17
2021;28/01/2022-14/02/2022;nda;0;0;0;8;rapproche;1;0;28/01/2022;14/02/2022;17
2021;28/01/2022-15/02/2022;nge;6;8;8;8;rapproche;1;0;28/01/2022;15/02/2022;18
2021;28/01/2022-18/02/2022;redika;0;0;0;8;rapproche;1;0;28/01/2022;18/02/2022;21
2021;28/01/2022-14/02/2022;tere;0;0;0;8;rapproche;1;0;28/01/2022;14/02/2022;17
2021;27/01/2022-15/02/2022;ua;1;1;1;8;rapproche;1;0;27/01/2022;15/02/2022;19
2021;27/01/2022-15/02/2022;uaterembi;0;0;0;8;rapproche;1;0;27/01/2022;15/02/2022;19
2021;27/01/2022-15/02/2022;uatio;0;0;0;8;rapproche;1;0;27/01/2022;15/02/2022;19
2021;27/01/2022-14/02/2022;vua;0;0;1;8;rapproche;1;0;27/01/2022;14/02/2022;18
2021;28/01/2022-16/02/2022;RAPPROCHE_all;13;17;20;8;rapproche;12;0;28/01/2022;16/02/2022;19
2021;16/02/2022-23/02/2022;gi;2;2;2;10;rapproche;1;1;16/02/2022;23/02/2022;7
2021;16/02/2022-23/02/2022;nge;0;0;0;10;rapproche;1;1;16/02/2022;23/02/2022;7
2021;18/02/2022-11/03/2022;atire;0;0;0;11;rapproche;1;1;18/02/2022;11/03/2022;21
2021;24/02/2022-10/03/2022;gi;2;2;2;11;rapproche;1;1;24/02/2022;10/03/2022;14
2021;17/02/2022-10/03/2022;ieroue;0;0;0;11;rapproche;1;1;17/02/2022;10/03/2022;21
2021;18/02/2022-11/03/2022;kouare;0;0;0;11;rapproche;1;1;18/02/2022;11/03/2022;21
2021;18/02/2022-11/03/2022;nda;0;0;0;11;rapproche;1;1;18/02/2022;11/03/2022;21
2021;24/02/2022-10/03/2022;nge;1;1;1;11;rapproche;1;1;24/02/2022;10/03/2022;14
2021;19/02/2022-11/03/2022;redika;0;0;0;11;rapproche;1;1;19/02/2022;11/03/2022;20
2021;18/02/2022-11/03/2022;tere;0;0;0;11;rapproche;1;1;18/02/2022;11/03/2022;21
2021;17/02/2022-10/03/2022;ua;0;0;0;11;rapproche;1;1;17/02/2022;10/03/2022;21
2021;17/02/2022-10/03/2022;uaterembi;0;0;0;11;rapproche;1;1;17/02/2022;10/03/2022;21
2021;17/02/2022-10/03/2022;uatio;0;0;0;11;rapproche;1;1;17/02/2022;10/03/2022;21
2021;18/02/2022-11/03/2022;vua;1;1;1;11;rapproche;1;1;18/02/2022;11/03/2022;21
2021;18/02/2022-11/03/2022;RAPPROCHE_all;4;5;4;11;rapproche;12;1;18/02/2022;11/03/2022;21
2022;05/11/2022-22/11/2022;atire;1;1;4;1;rapproche;1;0;05/11/2022;22/11/2022;17
2022;05/11/2022-22/11/2022;gi;2;3;3;1;rapproche;1;0;05/11/2022;22/11/2022;17
2022;06/11/2022-23/11/2022;ieroue;3;4;4;1;rapproche;1;0;06/11/2022;23/11/2022;17
2022;05/11/2022-22/11/2022;kouare;1;1;1;1;rapproche;1;0;05/11/2022;22/11/2022;17
2022;05/11/2022-22/11/2022;nda;2;3;6;1;rapproche;1;0;05/11/2022;22/11/2022;17
2022;06/11/2022-23/11/2022;nge;2;3;2;1;rapproche;1;0;06/11/2022;23/11/2022;17
2022;05/11/2022-22/11/2022;redika;0;0;0;1;rapproche;1;0;05/11/2022;22/11/2022;17
2022;05/11/2022-22/11/2022;tere;0;0;0;1;rapproche;1;0;05/11/2022;22/11/2022;17
2022;06/11/2022-23/11/2022;ua;1;1;1;1;rapproche;1;0;06/11/2022;23/11/2022;17
2022;06/11/2022-23/11/2022;uaterembi;1;1;3;1;rapproche;1;0;06/11/2022;23/11/2022;17
2022;06/11/2022-23/11/2022;uatio;4;5;8;1;rapproche;1;0;06/11/2022;23/11/2022;17
2022;05/11/2022-22/11/2022;vua;2;3;2;1;rapproche;1;0;05/11/2022;22/11/2022;17
2022;05/11/2022-23/11/2022;RAPPROCHE_all;19;25;34;1;rapproche;12;0;05/11/2022;23/11/2022;18
2022;18/11/2022-05/12/2022;amere;5;6;6;2;ponctuel;1;0;18/11/2022;05/12/2022;17
2022;18/11/2022-05/12/2022;kie;4;5;7;2;ponctuel;1;0;18/11/2022;05/12/2022;17
2022;18/11/2022-05/12/2022;nouare;0;0;0;2;ponctuel;1;0;18/11/2022;05/12/2022;17
2022;23/11/2022-08/12/2022;gi;1;1;2;3;rapproche;1;1;23/11/2022;08/12/2022;15
2022;24/11/2022-08/12/2022;ieroue;5;6;8;3;rapproche;1;1;24/11/2022;08/12/2022;14
2022;23/11/2022-08/12/2022;kouare;6;7;9;3;rapproche;1;1;23/11/2022;08/12/2022;15
2022;23/11/2022-08/12/2022;nda;4;5;18;3;rapproche;1;1;23/11/2022;08/12/2022;15
2022;24/11/2022-08/12/2022;nge;4;5;8;3;rapproche;1;1;24/11/2022;08/12/2022;14
2022;24/11/2022-08/12/2022;ua;3;4;9;3;rapproche;1;1;24/11/2022;08/12/2022;14
2022;24/11/2022-08/12/2022;uatio;1;1;8;3;rapproche;1;1;24/11/2022;08/12/2022;14
2022;23/11/2022-08/12/2022;vua;6;7;9;3;rapproche;1;1;23/11/2022;08/12/2022;15
2022;24/11/2022-08/12/2022;RAPPROCHE_all;30;36;71;3;rapproche;8;1;24/11/2022;08/12/2022;14
2022;28/11/2022-15/12/2022;mato;0;0;0;4;ponctuel;1;0;28/11/2022;15/12/2022;17
2022;27/11/2022-14/12/2022;mbore;2;3;3;4;ponctuel;1;0;27/11/2022;14/12/2022;17
2022;27/11/2022-14/12/2022;ndo;4;5;7;4;ponctuel;1;0;27/11/2022;14/12/2022;17
2022;28/11/2022-15/12/2022;noe;0;0;0;4;ponctuel;1;0;28/11/2022;15/12/2022;17
2022;27/11/2022-14/12/2022;petit koko;1;1;1;4;ponctuel;1;0;27/11/2022;14/12/2022;17
2022;28/11/2022-15/12/2022;puemba;5;6;5;4;ponctuel;1;0;28/11/2022;15/12/2022;17
2022;23/11/2022-14/12/2022;tere;0;0;0;4;rapproche;1;1;23/11/2022;14/12/2022;21
2022;27/11/2022-14/12/2022;totea;6;8;14;4;ponctuel;1;0;27/11/2022;14/12/2022;17
2022;24/11/2022-15/12/2022;uaterembi;5;7;17;4;rapproche;1;0;24/11/2022;15/12/2022;21
2022;28/11/2022-15/12/2022;ugo;0;0;0;4;ponctuel;1;0;28/11/2022;15/12/2022;17
2022;27/11/2022-14/12/2022;uie;0;0;0;4;ponctuel;1;0;27/11/2022;14/12/2022;17
2022;27/11/2022-14/12/2022;uo;0;0;1;4;ponctuel;1;0;27/11/2022;14/12/2022;17
2022;23/11/2022-19/12/2022;atire;9;13;13;5;rapproche;1;0;23/11/2022;19/12/2022;26
